name,city,country,iata,icao
Aero B Ranch Airport,Leoti,US,,00AA
Lowell Field,Anchor Point,US,,00AK
Epps Airpark,Harvest,US,,00AL
Katmai Lodge Airport,King Salmon,US,,00AN
Arland Airport,Bennington,US,,00AR
Fulton Airport,Alex,US,,00AS
Goldstone /Gts/ Airport,Barstow,US,,00CA
Williams Ag Airport,Biggs,US,,00CL
Grass Patch Airport,Bushnell,US,,00FA
River Oak Airport,Okeechobee,US,,00FL
Lt World Airport,Lithonia,US,,00GA
Delta Shores Airport,Clark Fork,US,,00ID
Goltl Airport,Mcdonald,US,,00IG
Hammer Airport,Polo,US,,00IL
Hayenga's Cant Find Farms Airport,Kings,US,,00IS
Hayden Farm Airport,Gardner,US,,00KS
Robbins Roost Airport,Stanford,US,,00KY
Lejeune Airport,Esterwood,US,,00LS
Slater Field,Federalsburg,US,,00MD
Battle Lake Municipal Airport,Battle Lake,US,,00MN
North Raleigh Airport,Louisburg,US,,00NC
Weiss Airfield,West Bloomfield,US,,00NY
Gull Bay Landing Airport,Sandsprings,US,,00OK
Ferrell Field,Mercer,US,,00PN
Flying O Airport,Sumter,US,,00SC
Homan Field,Gary,US,,00SD
Alpine Range Airport,Everman,US,,00TS
Nowhere Airport,Goodlett,US,,00TT
Delva Field,Van,US,,00TX
Vaughan Airport,Alton,US,,00VA
Groundhog Mountain Airport,Hillsville,US,,00VI
Howell Airport,Longbranch,US,,00WA
Northern Lite Airport,Waupaca,US,,00WI
Hawks Run Airport,Asotin,US,,00WN
Lazy J Aerodrome,Beverly,US,,00WV
Weeski Ranch Airport,Hempstead,US,,00XA
Ware Island Airport,Clanton,US,,01AL
Mc Hone Heights Airport,Wasilla,US,,01AN
Swansboro Country Airport,Placerville,US,,01CL
Coleman Homestead Airport,Talkeetna,US,,01CN
Rybolt Ranch Airport,Orlando,US,,01FA
Cedar Knoll Flying Ranch Airport,Geneva,US,,01FL
The Farm Airport,Wrightsville,US,,01GE
Lava Hot Springs Airport,Lava Hot Springs,US,,01ID
William E Koenig Airport,Dow,US,,01IS
Barham Airport,Oak Ridge,US,,01LA
Crystal Lakes Resort Airport,Fortine,US,,01MT
Topsail Airpark,Holly Ridge,US,,01NC
Moore Airfield,Canaan,US,,01NH
Granville Airport,Granville,US,,01NK
Champion Ranch Airport,Artesia,US,,01NM
Lantana Ranch Airport,Yerington,US,,01NV
Spring Creek Ranch East Airport,Tishomingo,US,,01OL
Powell Kaiser Airport,Bolivar,US,,01PA
Nort's Resort Airport,Meshoppen,US,,01PS
York Airport,York,US,,01SC
Smith Field,Forney,US,,01TE
Colonial Air Park,Collierville,US,,01TN
Fort Parker Flying Field,Groesbeck,US,,01TS
Pickles Airport,Berryville,US,,01VA
Keyhole Airport,Moorcroft,US,,01WY
Barefoot Airport,Big Lake,US,,02AA
Rustic Wilderness Airport,Willow,US,,02AK
Bass Field,Foley,US,,02AL
Mount Moriah Field,Murfreesboro,US,,02AR
Shannon Field,Clarksdale,US,,02CD
Mc Cullough Airport,Monte Vista,US,,02CO
Osborn Airfield,Groveland,US,,02FA
Triple R Ranch Airport,Baker,US,,02FD
Doug Bolton Field,Commerce,US,,02GA
Etowah Fields Airport,Euharlee,US,,02GE
Morgan Ranch Airport,Cascade,US,,02ID
Diamond P Field,Muncie,US,,02IN
Jmj Landing Airport,St Marys,US,,02KS
Garner Field,Brandywine,US,,02MD
Nadeau's Airfield,Acton,US,,02ME
Fairplains Airpark,Greenville,US,,02MI
Gregory Airport,Cambridge,US,,02MN
Troy Airpark,Troy,US,,02MO
Watts Field,Rochdale,US,,02MS
Steppler Field,Culbertson,US,,02MT
Paiute Meadows Airport,Winnemucca,US,,02NV
Bobbitt Airport,Lamont,US,,02OK
Cuylers Airport,Vega Baja,US,,02PR
Harpers Airport,Estill,US,,02SC
Ellis Field,Murfreesboro,US,,02TN
El Tesoro Ranch Airport,Charlotte,US,,02TS
Lucin Airport,Lucin,US,,02UT
The Greenhouse Airport,Culpeper,US,,02VA
Cawleys South Prairie Airport,South Prairie,US,,02WA
Beer Airport,Hudson,US,,02WI
Fowler Field,Tonasket,US,,02WN
Jls Farms Airport,Honey Grove,US,,02XA
Seidel Ranch Airport,Elroy,US,,02XS
Thompson International Aviation Airport,Hereford,US,,03AZ
Lake Persimmon Airstrip,Lake Placid,US,,03FA
Hia Airport,Statesboro,US,,03GA
Flatlander Airport,Elliott,US,,03IA
Flying Y Ranch Airport,Council,US,,03ID
Wix Airport,Monee,US,,03IL
Flying H Farms Airport,Henderson,US,,03KY
Hadley Airport,Hadley,US,,03MA
Maple Ridge Airport,Harrison,US,,03ME
Nauerth Land Ranch Airport,Lakefield,US,,03MN
Dorton Airport,Richmond,US,,03MO
Mc Donnell Airport,Archie,US,,03MU
Pilots Ridge Airport,Carolina Beach,US,,03NC
Olafson Brothers Airport,Edinburg,US,,03ND
Llama Ranch Airport,Ruby Valley,US,,03NV
Talmage Field,Riverhead,US,,03NY
Gibbs Field,Fremont,US,,03OH
Sahoma Lake Airport,Sapulpa,US,,03OK
Bluebird Airport,Alex,US,,03OL
Powwatka Ridge Airport,Troy,US,,03OR
Sun View Field,Bonner Springs,US,,03PR
Barronena Ranch Airport,Hebbronville,US,,03TE
Brazos Polo Airport,Orchard,US,,03TT
A Z Minerals Corporation Airport,Mexican Hat,US,,03UT
Spangle Field,Spangle,US,,03WA
Aerostone Airfield,Goldendale,US,,03WN
Creekside Airport,Mertzon,US,,03XS
Flying W Ranch Airport,Soldotna,US,,04AA
North 40 Airport,Sutton,US,,04AN
White Hills Airport,White Hills,US,,04AZ
Gray Butte Field,Palmdale,US,,04CA
Desert Wings Sky Ranch Airport,Julian,US,,04CL
Richards Field,Homestead,US,,04FA
Cross Creek Farms Airport,Ormond,US,,04FL
Middlekoop Airport,Packwood,US,,04IA
Lanham Field,Emmett,US,,04ID
Schertz Aerial Service - Hudson Airport,Hudson,US,,04IL
Van Gorder Airport,Mansfield,US,,04IS
Kraemer Airfield,Minneola,US,,04KS
Natchez Trace Farm Airport,Hiseville,US,,04KY
Goddard Airport,Haverhill,US,,04MA
Beech Hill Airport,Mercer,US,,04ME
Rapids Airway Airport,Eaton Rapids,US,,04MI
Helblad Airport,Kelliher,US,,04MN
Nicks Flying Service Inc Airport,Rolling Fork,US,,04MS
Pluhar Airport,Cohagen,US,,04MT
Mc Connell Field,Sarben,US,,04NE
Emmanuel Airport,Elmer,US,,04NJ
Kingston Ranch Airport,Sandy Valley,US,,04NV
Klaverack Airport,Hudson,US,,04NY
Collins Landing Strip,Mitchell,US,,04OR
Hensley Airpark,Chuckey,US,,04TN
4D Ranch Airport,Utopia,US,,04TT
Pocock Airport,China Spring,US,,04TX
Navajo Mountain Airport,Navajo Mountain Trdng Post,US,,04UT
Lightning Bolt Field,Cabot,US,,04VT
Ox Meadows Airport,Spokane,US,,04WA
Dutch Gap Airstrip,Bristol,US,,04WI
Stillwater Creek Airport,Royal City,US,,04WN
Pecan Field,Jermyn,US,,04XA
Wasilla Creek Airpark,Palmer,US,,05AK
Weltons Aerodrome,Fox,US,,05AN
Ozark Skies Airpark,Kingston,US,,05AR
Pope Valley Airport,Pope Valley,US,,05CL
Rancho De Aereo Airport,Mead,US,,05CO
Melanie's Airport,Florala,US,,05FA
Charlton Strip,La Belle,US,,05FL
Ark Airport,Richland,US,,05GA
Spotts Field,Nora Springs,US,,05IA
Running Creek Ranch Airport,Grangeville,US,,05ID
Classic Landings Airport,Bonfield,US,,05IL
Cooper Airport,Belleville,US,,05IN
Darbro Field,Elk City,US,,05KS
High Point Farm Airport,Frankfort,US,,05KT
Cartersville Airport,Berea,US,,05KY
Greg's Flying Service Airport,Baskin,US,,05LA
Grass Roots Airport,Alexandria,US,,05LS
Breezecroft Airport,Chestertown,US,,05MD
Drisko Airport,Jonesboro,US,,05ME
Jetsetter Outdoors Airport,Edina,US,,05MO
Jones Landing Airport,Belgrade,US,,05MT
Dead Cow Field,Beaufort,US,,05NC
Mc Kay Airport,Spalding,US,,05NE
Baker Ranches Airport,Baker,US,,05NV
Eaglecrest Field,Conesville,US,,05OH
Muncy Airport,Hydro,US,,05OK
6 Ranch Airport,Enterprise,US,,05OR
Mills Brothers Airport,Burnt Cabins,US,,05PS
Brandes Air Field,Sealy,US,,05TA
Hilde-Griff Field,Georgetown,US,,05TE
Dew Drop Airport,Justin,US,,05TS
Circle 'A' Ranch Airport,Blum,US,,05TX
Providence Airport,Farmville,US,,05VA
Ames Private Airport,Darien,US,,05WI
Flat Creek Field,Kettle Falls,US,,05WN
Johnson Memorial Airport,Wilmot,US,,05XS
Twisted Sisters Airport,Sterling,US,,06AA
June Lake Airpark,Wasilla,US,,06AK
Niesen Airstrip,Nikiski,US,,06AN
Cy Bond Memorial Airport,Higden,US,,06AR
Jecan Airport,Branson,US,,06CO
William P Gwinn Airport,Jupiter,US,,06FA
Grass Roots Airpark,Mascotte,US,,06FD
Rich Field,Walford,US,,06IA
Larkin Airport,Kuna,US,,06ID
Humm Airport,Earlville,US,,06IL
Sinele Strip,Nauvoo,US,,06IS
Noahs Ark Airport,Waldron,US,,06MO
Torgerson Airport,Ethridge,US,,06MT
Tailwinds Airport,St. Pauls,US,,06NC
Cole Farm Airport,Kensington,US,,06NH
Silver Creek Airport,Baker,US,,06NV
Murphy Field,Auburn,US,,06NY
Hal Joy Airfield,Williamsfield,US,,06OH
Green Acres Airport,New Lebanon,US,,06OI
Freefall Oz Airport,Ceres,US,,06PA
Glaser Field,Buckholts,US,,06TA
Cavok Airpark,Cleveland,US,,06TE
Hunter Airport,Columbia,US,,06TN
M Sansom Ranch Airport,Paint Rock,US,,06TS
6 Mile Airpark,Fort Mckavett,US,,06TT
Diamond N Ranch Airport,Hockley,US,,06TX
Mount Horeb Field,Grottoes,US,,06VA
Lazy River Airport,Wausaukee,US,,06WI
Western Airpark,Yelm,US,,06WN
J & W Windy Hill Airport,Van Alstyne,US,,06XA
Campbell Field,Aubrey,US,,06XS
Pan Lake Strip,Willow,US,,07AA
Bro Majors Airfield,Trapper Creek,US,,07AN
Morrilton Airport,Morrilton,US,,07AR
Richvale Airport,Richvale,US,,07CL
Comanche Creek Airport,Kiowa,US,,07CO
Ocean Reef Club Airport,Key Largo,US,OCA,07FA
Alcovy Airport,Covington,US,,07GA
Pope Pate Field,Ocilla,US,,07GE
Hoskins Landing Airport,Shambaugh,US,,07IA
Shepard Strip,Oldtown,US,,07ID
Gray Airport,Boggstown,US,,07IN
Heape Field,Augusta,US,,07KS
Blue Lick Airport,Louisville,US,,07KY
Richmond Plantation Airport,Forest Hill,US,,07LA
Baugher's Orchard Airport,Westminster,US,,07MD
Lake Sexton Airport,Warrensburg,US,,07MO
Glasgow Industrial Airport,Glasgow,US,,07MT
Hawks Meadow Airport,Waxhaw,US,,07NC
Border Line Farm Airport,Baker,US,,07NV
Pleasant Valley Airport,Snyder,US,,07OK
Dream Air Airport,Albion,US,,07PA
Folmar Airport,Grassflat,US,,07PN
Salaika Aviation Airport,Danbury,US,,07TA
Cross Country Estates Marshall Field,Georgetown,US,,07TS
E Northrop Grumman Airport,Howell,US,,07UT
Alpha Hotel Airport,Clover,US,,07VA
Meadow Airport,Jericho,US,,07VT
Fisher Airport,Big Lake,US,,08AK
Garrison Airport,Ashdown,US,,08AR
Kistler Ranch Airport,Jamestown,US,,08CL
Terra Firma Airport,Rush,US,,08CO
Duda Airstrip,La Belle,US,,08FA
Sunniland Ranch Airport,Okeechobee,US,,08FD
J H Hendrie Farms Airport,Lake Placid,US,,08FL
Sapelo Island Airport,Darien,US,,08GA
Symms Airport,Marsing,US,,08ID
Marshall Farms Airport,Cortland,US,,08IL
Alderson Airport,Bennington,US,,08KS
Boss Airport,Burnside,US,,08KY
Sauer Airport,Dwight,US,,08LL
Aeleron Airport,Grand Coteau,US,,08LS
Lindbergh Airport,Avon,US,,08ME
Twin Oaks Airport,Jasper,US,,08MO
Midsouth Airpark,Coldwater,US,,08MS
Matovich Airport,Grass Range,US,,08MT
Whiteheart Farm Airport,Lewisville,US,,08NC
Brecht Strip,Golden Valley,US,,08ND
Bell Mountain Airport,Zirconia,US,,08NR
Md1 Airport,Middletown,US,,08NY
Kenley Airport,Hartford,US,,08OH
Parks Airport,Wilburton,US,,08OK
Broken B Airport,Hydro,US,,08OL
Saxon Sycan Airport,Silver Lake,US,,08OR
Ptc Airport,Fayetteville,US,,08TN
Flying G Ranch Airport,Bynum,US,,08TS
Lz Tango Charlie Airport,Fredericksburg,US,,08TT
Cross Wind Airport,Weatherford,US,,08TX
P-L Ranch Airport,Lacey,US,,08WA
Faikel Airfield,Howard,US,,08WI
Knolle Ranch Airport,Snook,US,,08XA
Peterson Airport,Old Ocean,US,,08XS
West Beaver Airport,Big Lake,US,,09AK
Stronghold Airport,St David,US,,09AZ
Alta Sierra Airport,Grass Valley,US,,09CL
Cottonwood Field,Swink,US,,09CO
Placid Lakes Airport,Lake Placid,US,,09FA
Cheryl-Lane Landings Airport,Bushnell,US,,09FD
Sunbelt Strip,Moultrie,US,,09GA
Elliott Field,Dawsonville,US,,09GE
Skydive Iowa Airport,Brooklyn,US,,09IA
Taylor Ranch Landing Area Airport,Moscow,US,,09ID
Gordon Airport,Columbia City,US,,09IN
Coffman Airport,Wellsville,US,,09KS
Pine Hill Airport,Capron,US,,09LL
Perrotti Skyranch Airfield,Berwick,US,,09ME
Hogue Farm Airport,Willard,US,,09MO
William Irving Lewis Airport,Broadway,US,,09NC
Summer Hill Farm Airport,Bennington,US,,09NE
Dakota Air Ranch Airport,Ramseur,US,,09NR
Ragtime Aerodrome,Collinsville,US,,09OK
Eagle Field,Port Matilda,US,,09PA
Xwind Farm Airport,Ravenna,US,,09TA
Pitcock Rosillos Mountain Ranch Airport,Marathon,US,,09TS
Alum Ridge Airport,Floyd,US,,09VA
Parkway Farm Strip,Holmen,US,,09WI
Yakataga Airport,Yakataga,US,CYT,0AA1
Farewell Airport,Farewell,US,FWL,0AA4
Rangeview Airstrip,Trapper Creek,US,,0AA5
Kalifonsky Meadows Airport,Kenai,US,,0AA7
Scotts Airport,North Pole,US,,0AK0
Anderson Lake Airport,Wasilla,US,,0AK1
Yentna Bend Strip,Willow,US,,0AK2
Parker Lake Airport,Montana Creek,US,,0AK3
Young Creek Airport,May Creek,US,,0AK5
Victory Airport,Victory Bible Camp,US,,0AK6
Bradley Lake Hydroelectric Project Airstrip,Homer,US,,0AK7
Fireweed Airport,Mccarthy,US,,0AK8
Falcon Lake Strip,Point Mackenzie,US,,0AK9
Resort Airport,Foley,US,,0AL1
Flomaton Airport,Flomaton,US,,0AL5
Wilson Creek Airport,Florence,US,,0AL9
Mission Field-Marotti Memorial Airport,Crawfordsville,US,,0AR2
Bent Hickory Air Ranch Airport,Point Cedar,US,,0AR3
Western Sky Airpark,Salome,US,,0AZ2
Flying Bucket Ranch Airport,Mobile,US,,0AZ4
Castle Well Airport,Morristown,US,,0AZ5
Pom Wonderful Airstrip,Del Rey,US,,0CA0
Shepherd Farm Airport,Santa Ynez,US,,0CA4
Hoffman Airport,Santa Ysabel,US,,0CA5
Emory Ranch Airport,Ocotillo,US,,0CA6
Blech Ranch Airport,Shandon,US,,0CA9
Foxx Valley Airport,Yoder,US,,0CD2
Pinon Canyon Airport,Trinidad,US,,0CD5
Fox Hole Airport,Lafayette,US,,0CD7
Yosemite Hidden Lake Ranch Airport,Raymond,US,,0CL0
Krey Field,Adelanto,US,,0CL1
John Nichol's Field,Chula Vista,US,,0CL3
Fiorini Ranch Airport,Delhi,US,,0CN1
Sutter Butte Dusters Airport,Live Oak,US,,0CN2
Dave's Airport,Louisville,US,,0CO1
Crested Butte Airpark,Crested Butte,US,CSE,0CO2
Lebeau Ranch Airport,Kiowa,US,,0CO5
Flying M & M Ranch Airport,Norwood,US,,0CO6
Van Treese Airport,Monte Vista,US,,0CO9
Ott's Landing Airport,Arcadia,US,,0FA1
The 2A Ranch Airport,Ormond Beach,US,,0FD0
Dugger Field,Freeport,US,,0FD3
Yoder Field,Blountstown,US,,0FD4
Breezy Knoll Airport,Defuniak Springs,US,,0FD5
Joy Farms Airport,Defuniak Springs,US,,0FD9
Harpers Fly-In Ranch Airport,Clewiston,US,,0FL0
Mc Daniel Ranch Inc Airport,Clewiston,US,,0FL9
Halls Flying Ranch Airport,Hampton,US,,0GA0
Mustang Field,Hartwell,US,,0GA1
"Airnautique, Inc Airport",Hartwell,US,,0GA2
Ayresouth Airport,Temple,US,,0GA3
Sunset Strip,Jersey,US,,0GA6
Paso Fino Farm Airport,Valdosta,US,,0GA8
Gentle Landings Air Park,Roberta,US,,0GA9
Pinewood Airport,Douglasville,US,,0GE0
Crystal Lake Airpark,Irwinville,US,,0GE1
Lookout Mountain Airport,Trenton,US,,0GE3
Pecan Patch Airstrip,Sunnyside,US,,0GE4
Mountain Airpark,Cleveland,US,,0GE5
Carpenter Airport,Appling,US,,0GE7
Pegasus Ranch Airport,Rocky Ford,US,,0GE9
Sharar Field,Mediapolis,US,,0IA4
Moore Airport,Millerton,US,,0IA5
Hannen Airport,Center Point,US,,0IA8
South Fork Ranch Airport,Featherville,US,,0ID0
Ziggy's Airport,Filer,US,,0ID1
Flying Joseph Ranch Airport,May,US,,0ID2
Coyote Run Airport,Mountain Home,US,,0ID3
Black Butte Ranch Airport,Shoshone,US,,0ID4
Z X Ranch Airport,Murphy,US,,0ID7
Pinnacle Airport,Grangeville,US,,0ID8
Corral Creek Airport,Helmer,US,,0ID9
Chuck's Airport,Albany,US,,0II0
Frost Field,Greenfield,US,,0II7
Sutton's Field,Lowell,US,,0II8
Winters Airport,Hall,US,,0II9
Griffin Airport,Alma,US,,0IL2
Davis Rla Airport,Hammond,US,,0IL7
Jack W Watson Airport,De Kalb,US,,0IL9
Snider Field,Decker,US,,0IN1
Air Park Field,Woodburn,US,,0IN4
Byrne Field,Byrneville,US,,0IN5
Parrish Airport,Mount Vernon,US,,0IN9
Cady Aerial Airport,Deer Grove,US,,0IS3
J V Ranch Airport,Osage City,US,,0KS0
Leverton Airport,Udall,US,,0KS2
Norris Airport,Lawrence,US,,0KS4
Oasis Aerodrome,Great Bend,US,,0KS5
Moore Homestead Airport,Hays,US,,0KS6
Mono Aircraft Airport,Cheney,US,,0KS7
Pearce Field,Parsons,US,,0KS8
Lmn 120 Airport,Douglas,US,,0KS9
Owen Air Park,Owenton,US,,0KY0
Arnemann Farms Airport,Franklin,US,,0KY1
Boyce Wafer Farm Airport,Bowling Green,US,,0KY5
Clinton-Hickman County Airport,Clinton,US,,0KY7
Double H Ranch Airport,Gonzales,US,,0LA1
Belcher Airpatch Airport,Belcher,US,,0LA3
Rebel Field,Walker,US,,0LA9
Kaufield Airport,Belvidere,US,,0LL0
Jerseyville Aviation Inc Airport,Jerseyville,US,,0LL1
Koenig Airport,Jerseyville,US,,0LL3
Flaherty Field,La Salle,US,,0LL4
Busboom Airport,St Joseph,US,,0LL5
Gord Airport,Sandwich,US,,0LL6
Theriot Field,Thibodaux,US,,0LS0
Stafford Airport,Cankton,US,,0LS5
Morgan Field,New Roads,US,,0LS7
Taylor Field,Sudlersville,US,,0MD1
Squier Landing Airport,Cobb Island,US,,0MD2
Walters Airport,Mount Airy,US,,0MD6
Peasley Field,Otis,US,,0ME4
Lesterson-Dempsey Airstrip,Gwinn,US,,0MI4
Ferros Ranch-Aero Airport,Clinton,US,,0MO0
Flying G Airport,Creighton,US,,0MO1
Veach Field,Freeman,US,,0MO3
Harrison Airport,Hurdland,US,,0MO6
Sloan's Airport,Elsberry,US,,0MO8
Topton Air Estates Airport,Meridian,US,,0MS0
Morgan Field,Seminary,US,,0MS2
Addison-Henley Field,Pass Christian,US,,0MS7
Catfish Point Airport,Benoit,US,,0MS8
Shenandoah Valley Farms Airport,Houston,US,,0MS9
Kimp Airport,Hamilton,US,,0MT4
Cottonwood Airport,Laurel,US,,0MT5
Hanson Airport,Marion,US,,0MT6
Pinehurst Ranch Airport,Thompson Falls,US,,0MT7
Lone Hawk Airport,Whitefish,US,,0MT9
Sunderland Airport,Avilla,US,,0MU1
Lambs Field,Lone Jack,US,,0MU7
Rpm Airport,Fair Grove,US,,0MU9
Goerger Airport,Barney,US,,0NA1
Boyd's Turf Airport,Golva,US,,0NA9
H & J Strip,Elon,US,,0NC1
Lindsay Airport,Madison,US,,0NC7
Flying S Ranch Airport,Cleveland,US,,0NC8
Gilbertson Field,Flora,US,,0ND0
Schumacher Strip,Hague,US,,0ND6
Merrihew Airport,Ashby,US,,0NE0
Runner Landing Area Airport,Ashby,US,,0NE1
Flying V Airport,Utica,US,,0NE9
Dix Field,Linwood,US,,0NJ6
Berdick Field,Cattaraugus,US,,0NK0
Westwind Farm Airport,Charlton,US,,0NK2
Seven Gullies Airport,Groveland,US,,0NK3
Columbus Municipal Airport,Columbus,US,CUS,0NM0
Negrito Airstrip,Reserve,US,,0NM7
Bennetts Airport,North Creek,US,,0NY0
Russell Field,Northumberland,US,,0NY1
Kermizian Airport,Ohio,US,,0NY3
Murphys Lndg Strip,Perth,US,,0NY7
Wenskoski Field,Perth,US,,0NY8
Freeman Swank Farms Airport,Butler,US,,0OH5
Fry Airport,Piqua,US,,0OH8
Victor's Landing Airport,Kingsville,US,,0OI6
Hidden Quarry Airport,Lucasville,US,,0OI9
Mckey Airport,Elmore City,US,,0OK1
Viskup Family Field,Bartlesville,US,,0OK2
Mckinley Ranch Airport,Geary,US,,0OK3
Rock Creek Farm Airport,Coal Gate,US,,0OK4
Chappell Airport,Guthrie,US,,0OK5
Ellis/Harvey Airport,Guthrie,US,,0OK6
Ramey 1 Airport,Marlow,US,,0OK8
Long Ranch Airport,Merrill,US,,0OR3
Rome Service Airport,Rome,US,,0OR6
Marr Field,Monmouth,US,,0OR7
Sutton On Rogue Airport,White City,US,,0OR8
Haunstein Airport,Shermans Dale,US,,0PA2
Robbins Farm Airport,Troy,US,,0PA3
Fisher Airport,Franklin,US,,0PA5
Hostetler Airport,Huntingdon,US,,0PA6
Fletcher Airport,Sheakeyville,US,,0PN0
Kitner Airport,New Bloomfield,US,,0PN4
Nichols Airport,Spartansburg,US,,0PN5
Memmi Airport,Three Springs,US,,0PN6
Drillmore Acres Airport,Newburg,US,,0PN7
Shriver Airport,Titusville,US,,0PN8
Frederick Airpark,Tylersburg,US,,0PS0
Carsonville Airport,Carsonville,US,,0PS3
Old Orchard Airport,Curwensville,US,,0PS4
Harman Airport,Elizabethville,US,,0PS7
Lenling Airport,Glencross,US,,0SD0
Lodi Airport,Wakonda,US,,0SD1
Bledsoe Ranch Airport,Hoover,US,,0SD3
Porch Ranch Airport,Wanblee,US,,0SD7
Smith Farms Airport,Halfway,US,,0TA2
Erco Field,Kaufman,US,,0TA4
B Flying Ranch Airport,Mason,US,,0TA8
Robertson Ranch Airport,Comstock,US,,0TE0
Hilltop Lakes Airport,Hilltop Lakes,US,,0TE4
Santa Maria Ranch Airport,Laredo,US,,0TE5
Lbj Ranch Airport,Johnson City,US,JCY,0TE7
R & S Buzzard Airport,Spring Hill,US,,0TN0
Village Airport,Greenback,US,,0TN2
Mc Donald Airport,Murfreesboro,US,,0TN5
Riner Farm Airport,Norris,US,,0TN6
Hye Airport,Hye,US,,0TS0
Dooley Airport,Justin,US,,0TS1
Ullrich Airport,Ledbetter,US,,0TS4
Bass Breeze Ranch Airport,Cleveland,US,,0TS5
Flying U Airport,Mineral Wells,US,,0TS7
Mcclellan Creek Airport,Mclean,US,,0TS9
Nassau Bay Airport,Granbury,US,,0TX0
Pecan Plantation Airport,Granbury,US,,0TX1
Mill Iron Ranch North Airport,Wellington,US,,0TX4
Shiloh Airport,Flower Mound,US,,0TX5
Elm Creek Airpark,Seguin,US,,0TX6
Twisted Js Airport,Farmersville,US,,0TX7
Rambo Airfield,Warrenton,US,,0VA0
Johnson Fox Field,Bedford,US,,0VA1
Riverwood Airport,Iron Gate,US,,0VA2
Hunt Airport,Manquin,US,,0VA3
Worley Field,Rocky Mount,US,,0VA4
Handy Strip,Gloucester Court House,US,,0VA9
Brooklyn Airport,Manquin,US,,0VI1
Dwight Field,Chehalis,US,,0WA1
Curtis Airport,Curtis,US,,0WA2
Mort's Landing Airport,Comstock,US,,0WI1
Doering Farms Airfield,Monches,US,,0WI2
Snow Crest Ranch Airport,Montello,US,,0WI4
With Wings And A Halo Airport,Neenah,US,,0WI7
Oconomowoc Airport,Oconomowoc,US,,0WI8
Mc Manus Hoonch-Na-Shee-Kaw Airport,Oregon,US,,0WI9
Rucilla's Roost Airport,Sequim,US,,0WN0
Shangri-La Airport,Selah,US,,0WN1
Coopers Landing Airport,Kennewick,US,,0WN2
Rockdale Airport,Rockdale,US,,0WS7
Freedom Air Ranch Airport,Freedom,US,,0WY0
Dorsey Creek Ranch Airport,Basin,US,,0WY1
Rnw Airport,Paradise,US,,0XA0
Seven C's Ranch Airport,Freer,US,,0XA4
74 Ranch Airport,Campbellton,US,,0XA5
Bar 3 Ranch Airport,Georgetown,US,,0XA7
John Fields Ranch Airport,Sonora,US,,0XS2
Lakeside Beach Airport,Spicewood,US,,0XS6
Anacacho Ranch Airport,Spofford,US,,0XS7
Dunbar Ranch Airport,Spofford,US,,0XS8
French Field,Bullard,US,,0XS9
Hunt Strip,Wasilla,US,,10AK
Hickory Ridge Airport,White Hall,US,,10AR
Farm Ag Airport,Buckeye,US,,10AZ
Mack Mesa Airport,Mack,US,,10CO
Flying Baron Estates Airport,Leesburg,US,,10FA
Seven Feathers Airport,Dunnellon,US,,10FD
Beaverbrook Aerodrome,Griffin,US,,10GA
Flyers Airport,Waterloo,US,,10IA
Flat Top Airstrip,Muldoon,US,,10ID
Fence Field,Jasonville,US,,10IN
Industrial Helicopters Inc Airport,Scott,US,,10LA
Lejeune Aerial Applications Airport,Basile,US,,10LS
Flying V Ranch Airport,Williamsburg,US,,10MO
Johnston Farm Airport,Jackson,US,,10NC
Smith Strip,Halliday,US,,10ND
Zoellner Airport,Huron,US,,10OH
Hickory Hills Airport,Norman,US,,10OK
Gottwald Field,Harwood,US,,10TE
Flatwood Field,Lebanon,US,,10TN
2C Ranch Airport,Laneville,US,,10TS
Rosser Ranch Airport,Graham,US,,10TT
Nashs Airport,Appomattox,US,,10VA
Buds Landing Airport,Pound,US,,10WI
Willow Creek Ranch Airport,Kaycee,US,,10WY
Sterling Airport,Port Lavaca,US,,10XA
Flying S Air Ranch Airport,Brownwood,US,,10XS
Rocking T Ranch Airport,Delta Junction,US,,11AK
Whetstone Airport,Huachuca City,US,,11AZ
Hansen Airport,Adelanto,US,,11CL
B & L Farms Airport,Homestead,US,,11FA
Williams Field,Middleburg,US,,11FL
Koch Field,Hudson,US,,11IA
Jr's Airport,Danville,US,,11IN
Davis Field,Winfield,US,,11KS
Thacker Airport,Chenoa,US,,11LL
Jasmine Hill Airport,Glenmora,US,,11LS
Bulljump Airport,Wareham,US,,11MA
Tim's Airport,Salisbury,US,,11MD
Redgate Ranch Airport,Williamsburg,US,,11MO
Lammers Airport,Shawmut,US,,11MT
Hop House Airpark,Fort Plain,US,,11NK
Johnson Landing Strip,Millbrook,US,,11NY
Hide-A-Way Hills Resort Airport,Bremen,US,,11OA
Eakin Airport,Cranberry,US,,11PN
Flying M Ranch Airport,Grandview,US,,11TE
Denney Airport,Mcminnville,US,,11TN
Pt Enterprise D&W Ranch Airport,Mexia,US,,11TS
Flying R Airport,Huntsville,US,,11UT
Devil's Reach Landing Airport,Oak Grove,US,,11VG
Homeport Airport,Cheney,US,,11WA
Thompson Creek Oilfield Airport,Hulett,US,,11WY
Briar Lakes Ranch Airport,Palestine,US,,11XA
Gibbons Airport,Marvell,US,,12AR
Ranta Strip,Morristown,US,,12AZ
Newton Field,Stratford,US,,12CL
